"Jurisdiction","Value","Race/ ethnicity","Year","Measure"
"Worcester","59.4","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"State","38.1","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Allegany","10.4","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Anne Arundel","26.3","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Baltimore City","119.5","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Baltimore County","41.4","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Calvert","11.6","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Caroline","9.0","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Carroll","9.7","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Cecil","20.0","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Charles","15.9","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Dorchester","27.5","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Frederick","22.6","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Garrett","10.5","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Harford","12.9","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Howard","14.9","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Kent","31.1","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Montgomery","38.3","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Prince George's","37.6","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Queen Anne's","11.6","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Saint Mary's","18.3","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Somerset","16.3","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Talbot","18.5","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Washington","27.0","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Wicomico","33.4","All races/ ethnicities (aggregated)","2022","Pedestrian Injury"
"Somerset","4.1","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"State","37.0","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Allegany","17.7","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Anne Arundel","27.9","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Baltimore City","126.2","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Baltimore County","38.6","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Calvert","15.9","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Caroline","15.0","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Carroll","18.4","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Cecil","16.3","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Charles","20.7","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Dorchester","27.6","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Frederick","16.0","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Garrett","7.0","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Harford","14.4","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Howard","13.7","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Kent","5.2","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Montgomery","27.7","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Prince George's","39.7","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Queen Anne's","15.7","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Saint Mary's","18.3","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Worcester","65.6","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Talbot","26.5","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Washington","27.1","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Wicomico","18.2","All races/ ethnicities (aggregated)","2021","Pedestrian Injury"
"Charles","16.2","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Cecil","26.0","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Carroll","12.7","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Caroline","3.0","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Calvert","12.9","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Baltimore County","39.1","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Baltimore City","111.5","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Anne Arundel","27.5","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Allegany","14.7","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"State","34.0","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Worcester","61.0","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Wicomico","18.3","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Washington","28.4","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Talbot","13.3","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Somerset","20.3","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Saint Mary's","16.7","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Queen Anne's","12.0","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Prince George's","30.8","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Montgomery","27.9","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Kent","10.4","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Howard","11.1","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Harford","17.6","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Garrett","10.4","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Frederick","10.7","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"Dorchester","33.8","All races/ ethnicities (aggregated)","2020","Pedestrian Injury"
"State","47.1","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Wicomico","26.1","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Washington","29.8","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Talbot","29.6","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Somerset","11.7","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Saint Mary's","20.3","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Worcester","70.8","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Queen Anne's","21.8","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Prince George's","46.8","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Montgomery","43.7","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Kent","15.4","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Howard","19.7","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Harford","29.0","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Garrett","17.2","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Frederick","16.2","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Dorchester","28.2","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Charles","23.3","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Cecil","34.0","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Carroll","17.8","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Caroline","6.0","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Calvert","13.0","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Baltimore County","51.9","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Baltimore City","142.0","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Anne Arundel","34.5","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Allegany","24.1","All races/ ethnicities (aggregated)","2019","Pedestrian Injury"
"Frederick","23.1","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"State","50.7","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"Allegany","7.0","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"Anne Arundel","44.1","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"Baltimore City","162.5","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"Baltimore County","50.1","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"Calvert","19.6","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"Caroline","3.0","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"Carroll","16.6","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"Cecil","33.1","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"Charles","25.4","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"Dorchester","65.7","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"Garrett","6.9","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"Harford","24.0","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"Howard","17.7","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
"Kent","15.4","All races/ ethnicities (aggregated)","2018","Pedestrian Injury"
